Commodity,Quantity,Cost,Total,GrandTotal
credit,0,3000,0,2869
rum,2,680,1360,2869
cig,23,10,230,2869
netflix,0,200,0,2869
amazon,0,129,0,2869
onedrive,0,145,0,2869
internet,0,950,0,2869
Tea,0,1400,0,2869
Tea Mom,0,1400,0,2869
Juice,0,110,0,2869
chicken,0,500,0,2869
veg,0,500,0,2869
ParkFee,1,400,400,2869
Amla and giloy,0,900,0,2869
Grocery,1,846,846,2869
Miscellaneous,1,33,33,2869
Cash Withdrawl,0,1000,1000,2869
